Name, Website, Pubs
Yanzhi Wang, https://www.khoury.northeastern.edu/people/yanzhi-wang, 1
Christo Wilson, http://www.ccs.neu.edu/home/cbw, 1
Yuval Yarom, https://yuval.yarom.org/, 26
Jörg Schwenk, http://nds.rub.de/chair/people/joerg-schwenk, 21
M. Angela Sasse, https://www.ei.ruhr-uni-bochum.de/fakultaet/personen/sasse, 7
Amir Moradi 0001, https://www.seceng.rub.de/moradi, 6
Kevin Borgolte, https://kevin.borgolte.me/, 5
Tim Güneysu, http://www.seceng.rub.de/chair/staff/gueneysu, 5
Eike Kiltz, http://kiltz.net/, 4
Ghassan Karame, http://www.ghassankarame.com/, 3
Nils Fleischhacker, https://www.crypto.ruhr-uni-bochum.de/staff/fleischhacker.html.en, 2
Gregor Leander, http://www.crypto.rub.de/staff/leander.html.en, 2
Karola Marky, https://karolamarky.pinyto.de/en/home, 2
Alexander May 0001, http://www.cits.rub.de/personen/may.html, 2
Alena Naiakshina, https://www.besec.uni-bonn.de/index.php/team/alena-naiakshina, 1
Bo Li 0026, https://aisecure.github.io/, 18
Blase Ur, http://www.blaseur.com/, 14
Ben Y. Zhao, http://people.cs.uchicago.edu/~ravenben, 13
Haitao Zheng 0001, https://people.cs.uchicago.edu/~htzheng, 13
Nick Feamster, https://people.cs.uchicago.edu/~feamster, 8
Marshini Chetty, https://marshini.net/, 4
Ce Zhang 0001, https://zhangce.github.io/, 4
David Cash, https://people.cs.uchicago.edu/~davidcash, 3
Grant Ho, https://cs.uchicago.edu/people/grant-ho, 3
Kexin Pei, https://cs.uchicago.edu/people/kexin-pei, 3
Aloni Cohen, https://aloni.net/, 2
Yuxin Chen 0001, https://www.cs.uchicago.edu/people/profile/yuxin-chen1, 1
Rana Hanocka, http://people.cs.uchicago.edu/~ranahanocka, 1
Henry Hoffmann, http://people.cs.uchicago.edu/~hankhoffmann, 1
Michelle L. Mazurek, https://www.umiacs.umd.edu/~mmazurek, 26
Jonathan Katz, https://www.cs.umd.edu/~jkatz, 9
Yonghwi Kwon 0001, https://yonghwi-kwon.github.io/, 9
Ian Miers, https://www.cs.umd.edu/people/imiers, 9
Tudor Dumitras, http://users.umiacs.umd.edu/~tdumitra, 8
Dave Levin, http://www.cs.umd.edu/~dml, 8
Yizheng Chen 0001, https://surrealyz.github.io/, 5
Dana Dachman-Soled, https://ece.umd.edu/~danadach, 3
Hal Daumé III, http://www.umiacs.umd.edu/~hal, 1
Zaoxing Liu, https://www.cs.umd.edu/~zaoxing, 1
James M. Purtilo, https://seam.cs.umd.edu/purtilo, 1
Gang Qu 0001, https://ece.umd.edu/~gangqu, 1
